application_id,city,zip,application_submission_date,facility_type,sector,pv_capacity_kw,total_system_costs,total_rebate,mounting_location,ppa_lease,payment_status,geothermal_capacity_tons,solar_water_capacity_sq_ft,wind_capacity_kw
R00146,Newark,19702,2006-09-27 00:00:00,Geothermal,Residential,,36530.0,3000.0,,,Paid,5.5,,
R00145,Middletown,19709,2006-09-27 00:00:00,Geothermal,Residential,,23723.0,3000.0,,,Paid,5.5,,
R00136,Georgetown,19947,2006-09-29 00:00:00,Solar Water Heating,Residential,,8846.25,3000.0,,,Paid,,40.0,
R00137,Bear,19701,2006-09-29 00:00:00,Geothermal,Residential,,20936.0,3000.0,,,Paid,5.0,,
R00147,Frankford,19945,2006-09-29 00:00:00,Geothermal,Residential,,12000.0,1800.0,,,Paid,3.0,,
R00143,Wilmington,19810,2006-10-03 00:00:00,PV,Residential,5.6,45000.0,22500.0,,,Paid,,,
R00142,Middletown,19709,2006-10-03 00:00:00,PV,Residential,6.0,49500.0,22500.0,,,Paid,,,
R00150,Newark,19702,2006-10-03 00:00:00,Solar Water Heating,Residential,,9705.0,3000.0,,,Paid,,30.0,
R00148,Wilmington,19808,2006-10-03 00:00:00,Geothermal,Residential,,17400.0,2400.0,,,Paid,4.0,,
R00149,Newark,19711,2006-10-03 00:00:00,Geothermal,Residential,,15200.0,2400.0,,,Paid,4.0,,
R00144,Hockessin,19707,2006-10-04 00:00:00,PV,Residential,5.2,45000.0,22500.0,,,Paid,,,
R00154,Laurel,19956,2006-10-05 00:00:00,Geothermal,Residential,,21257.0,2400.0,,,Paid,4.0,,
R00203,Wilmington,19807,2006-10-06 00:00:00,Solar Water Heating,Residential,,6895.0,3000.0,,,Paid,,52.0,
R00157,Bethany Beach,19930,2006-10-16 00:00:00,Geothermal,Residential,,23060.0,3000.0,,,Paid,6.0,,
R00151,Bear,19701,2006-10-18 00:00:00,PV,Residential,5.0,45000.0,22500.0,,,Paid,,,
R00152,Newark,19713,2006-10-18 00:00:00,PV,Residential,5.0,45000.0,21600.0,,,Paid,,,
R00155,Townsend,19734,2006-10-19 00:00:00,Geothermal,Residential,,17000.0,1800.0,,,Paid,3.0,,
R00156,Bethany Beach,19930,2006-10-20 00:00:00,Geothermal,Residential,,21687.0,3000.0,,,Paid,5.5,,
R00153,Bethany Beach,19930,2006-10-23 00:00:00,PV,Residential,4.8,45000.0,22500.0,,,Paid,,,
R00158,Newark,19702,2006-11-01 00:00:00,PV,Residential,5.0,45000.0,22500.0,,,Paid,,,
R00160,Lewes,19958,2006-11-06 00:00:00,PV,Residential,1.9,20250.0,10125.0,,,Paid,,,
R00161,Selbyville,19975,2006-11-06 00:00:00,Geothermal,Residential,,15787.0,2400.0,,,Paid,4.0,,
R00162,Wilmington,19810,2006-11-14 00:00:00,PV,Residential,5.4,45000.0,22500.0,,,Paid,,,
R00163,South Bethany Beach,19930,2006-11-14 00:00:00,Geothermal,Residential,,21181.0,3000.0,,,Paid,6.0,,
R00167,Bear,19701,2006-11-22 00:00:00,PV,Residential,5.0,45000.0,22500.0,,,Paid,,,
R00171,Bethany Beach,19930,2006-11-30 00:00:00,Geothermal,Residential,,17940.0,3000.0,,,Paid,5.0,,
R00172,Bethany Beach,19930,2006-11-30 00:00:00,Geothermal,Residential,,37015.0,3000.0,,,Paid,10.0,,
R00173,Bridgeville,19933,2007-01-05 00:00:00,Geothermal,Residential,,18500.0,3000.0,,,Paid,6.0,,
R00170,Rehoboth Beach,19971,2007-01-11 00:00:00,Geothermal,Residential,,35217.0,3000.0,,,Paid,9.0,,
R00168,Townsend,19734,2007-01-11 00:00:00,PV,Residential,4.0,45000.0,22500.0,,,Paid,,,
R00169,Wilmington,19810,2007-01-11 00:00:00,Geothermal,Residential,,27685.0,3000.0,,,Paid,5.0,,
NR00022,Laurel,19956,2007-01-11 00:00:00,PV,Non_Residential,42.0,500000.0,250000.0,,,Paid,,,
R00175,Yorklyn,19736,2007-01-20 00:00:00,PV,Residential,4.8,45000.0,22500.0,,,Paid,,,
R00177,Newark,19702,2007-01-21 00:00:00,Geothermal,Residential,,7847.0,1500.0,,,Paid,2.5,,
R00178,Rehoboth Beach,19971,2007-01-21 00:00:00,Geothermal,Residential,,13847.25,500.0,,,Paid,3.0,,
R00179,Wilmington,19810,2007-01-21 00:00:00,Geothermal,Residential,,16000.0,1800.0,,,Paid,3.0,,
R00180,Ocean View,19970,2007-01-21 00:00:00,Geothermal,Residential,,24750.0,3000.0,,,Paid,5.0,,
R00176,Hockessin,19707,2007-01-21 00:00:00,PV,Residential,5.0,41000.0,20500.0,,,Paid,,,
R00181,Henlopen Acres,19971,2007-01-25 00:00:00,Geothermal,Residential,,38360.0,3000.0,,,Paid,7.0,,
R00159,Hockessin,19707,2007-01-29 00:00:00,Geothermal,Residential,,26600.0,2400.0,,,Paid,4.0,,
R00183,South Bethany Beach,19930,2007-02-07 00:00:00,Geothermal,Residential,,19430.0,2700.0,,,Paid,4.5,,
R00184,Bethany Beach,19930,2007-02-07 00:00:00,Geothermal,Residential,,27400.0,3000.0,,,Paid,5.0,,
R00182,Georgetown,19947,2007-02-12 00:00:00,Geothermal,Residential,,25550.0,3000.0,,,Paid,7.5,,
NR00023,Wilmington,19803,2007-02-12 00:00:00,PV,Non_Residential,16.8,141583.6,70791.8,,,Paid,,,
NR00024,Lewes,19958,2007-02-12 00:00:00,PV,Non_Residential,48.0,423207.0,211603.5,,,Paid,,,
R00190,Laurel,19956,2007-02-14 00:00:00,Geothermal,Residential,,23145.63,3000.0,,,Paid,5.5,,
R00185,Newark,19711,2007-02-14 00:00:00,PV,Residential,5.6,43800.0,21900.0,,,Paid,,,
R00186,Wilmington,19805,2007-02-15 00:00:00,PV,Residential,5.0,45000.0,22500.0,,,Paid,,,
R00188,Townsend,19734,2007-02-17 00:00:00,PV,Residential,5.0,45000.0,22500.0,,,Paid,,,
R00194,Frankford,19945,2007-03-02 00:00:00,Geothermal,Residential,,29600.0,3000.0,,,Paid,6.0,,
R00192,Bethany Beach,19930,2007-03-06 00:00:00,PV,Residential,5.6,44800.0,22400.0,,,Paid,,,
