,year,category,economic_sectors,source,type,fuel_type,gas,value_mmtco2e
185,1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.0008477752499999998
186,1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,CH4,0.007920525480000001
187,1992,Estimate,Residential,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.00012484093934336468
188,1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CO2,0.000601732494
189,1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.277877435581639
190,1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.2729228244662333
191,1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,N2O,0.0000027900000000000004
192,1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.0007226099999999998
193,1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0001436571
194,1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,N2O,0.00017080999999999997
195,1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CH4,0.0000012625199999999997
196,1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.0008174816999999999
197,1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00051361275
198,1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,CH4,0.00086742915
199,1992,Estimate,Commercial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.0008199639758865359
200,1992,Estimate,Agricultural,Enteric Fermentation,Non-Energy,N/A,CH4,0.06136605682728584
201,1992,Estimate,Agricultural,Manure Management,Non-Energy,N/A,N2O,0.15862416253989803
202,1992,Estimate,Agricultural,Manure Management,Non-Energy,N/A,CH4,0.0410284382273908
203,1992,Estimate,Agricultural,Agricultural Soil Management,Non-Energy,N/A,N2O,0.37256937829984277
