Application ID,City,Zip,Application Submission Date,Facility Type,Sector,PV Capacity (kW),Geothermal Capacity (tons),Wind Capacity (kW),Solar Water Capacity (sq ft),Total System Costs ($),Total Rebate,Mounting Location,PPA/Lease,Payment Status
5693,Harrington,19952,01/23/2015,PV,residential,9750,,,,47775.00,5437.50,rooftop,ppa,Paid
5695,Newark,19702,01/23/2015,PV,residential,8000,,,,31520.00,5000.00,rooftop,lease,Pending
5696,Milton,19968,01/23/2015,PV,residential,11000,,,,33000.00,5750.00,rooftop,lease,Unpaid
5698,Greenwood,19950,01/26/2015,PV,residential,7140,,,,34986.00,4785.00,rooftop,ppa,Unpaid
5699,Bear,19701,01/26/2015,PV,residential,12750,,,,63750.00,6187.50,rooftop,lease,Paid
5700,Hockessin,19707,01/26/2015,PV,residential,10200,,,,51000.00,5550.00,rooftop,ppa,Paid
5701,Bear,19701,01/26/2015,PV,residential,8415,,,,42075.00,5103.75,rooftop,ppa,Paid
5702,Lewes,19958,01/26/2015,PV,residential,11985,,,,59925.00,5996.25,rooftop,lease,Paid
5703,Smyrna,19977,01/26/2015,PV,residential,6630,,,,33150.00,4657.50,rooftop,lease,Paid
5704,Newark,19713,01/26/2015,PV,residential,6630,,,,67575.00,4657.50,rooftop,lease,Paid
5705,Seaford,19973,01/27/2015,PV,residential,12495,,,,70125.00,6123.75,rooftop,lease,Unpaid
5706,Middletown,19709,01/27/2015,PV,residential,7650,,,,61200.00,4912.50,rooftop,lease,Paid
5707,Rehoboth Beach,19971,01/27/2015,PV,residential,7920,,,,41250.00,4980.00,rooftop,ppa,Unpaid
5709,Seaford,19973,01/27/2015,PV,residential,8000,,,,31520.00,5000.00,rooftop,lease,Unpaid
5710,Lewes,19958,02/05/2015,PV,residential,2000,,,,7300.00,1700.00,rooftop,owned,Paid
5712,New Castle,19720,01/28/2015,PV,residential,5000,,,,19700.00,4250.00,rooftop,lease,Pending
5714,Dover,19901,01/28/2015,PV,residential,8250,,,,32505.00,5062.50,rooftop,lease,Pending
5716,Newark,19702,01/29/2015,PV,residential,10750,,,,42355.00,5687.50,rooftop,lease,Pending
5718,Bridgeville,19933,01/29/2015,PV,residential,7000,,,,27580.00,4750.00,rooftop,lease,Unpaid
5720,Camden-Wyoming,19934,01/29/2015,PV,residential,7500,,,,29550.00,4875.00,rooftop,lease,Unpaid
5721,Wilmington,19808,01/29/2015,PV,residential,2040,,,,17850.00,1734.00,rooftop,lease,Paid
5723,Seaford,19973,01/29/2015,PV,residential,9750,,,,38415.00,5437.50,rooftop,lease,Unpaid
5725,Middletown,19709,01/29/2015,PV,residential,6000,,,,23640.00,4500.00,rooftop,lease,Pending
5727,New Castle,19720,01/29/2015,PV,residential,3750,,,,14775.00,3187.50,rooftop,lease,Pending
5729,Selbyville,19975,01/29/2015,PV,residential,6750,,,,26595.00,4687.50,rooftop,lease,Unpaid
5731,Newark,19702,01/29/2015,PV,residential,7250,,,,28565.00,4812.50,rooftop,lease,Unpaid
5733,New Castle,19720,01/29/2015,PV,residential,6500,,,,25610.00,4625.00,rooftop,lease,Pending
5738,Wilmington,19803,08/18/2015,PV,residential,8680,,,,29413.00,5170.00,rooftop,owned,Paid
5745,Frankford,19945-4226,03/05/2015,Geothermal,residential,,4,,,16400.00,3000.00,,,Paid
