district,year,month,system_cost,system_count,rebate,capacity,date,rebate_eff(W/$),tech_cost($/W)
8,2022,12,340122.0,11,64561.91,92475.0,1/12/22,1.43,3.68
10,2022,12,571774.0,16,105318.0,151565.0,1/12/22,1.44,3.77
13,2022,12,651788.0,21,152456.0,166090.0,1/12/22,1.09,3.92
14,2022,12,76486.0,1,8000.0,12800.0,1/12/22,1.6,5.98
17,2022,12,179698.0,4,31602.0,37560.0,1/12/22,1.19,4.78
20,2022,12,246612.0,8,53120.0,79115.0,1/12/22,1.49,3.12
3,2023,1,665201.0,21,137860.0,149345.0,1/1/23,1.08,4.45
4,2023,1,32845.0,1,8000.0,12045.0,1/1/23,1.51,2.73
5,2023,1,129962.0,3,19100.0,35435.0,1/1/23,1.86,3.67
6,2023,1,283774.0,8,60732.0,107615.0,1/1/23,1.77,2.64
8,2023,1,1119701.0,28,182938.0,275870.0,1/1/23,1.51,4.06
9,2023,1,38295.0,1,6808.0,8510.0,1/1/23,1.25,4.5
10,2023,1,468338.0,14,88956.0,140765.0,1/1/23,1.58,3.33
13,2023,1,1491323.0,35,211020.0,342020.0,1/1/23,1.62,4.36
14,2023,1,245589.0,6,31760.0,52760.0,1/1/23,1.66,4.65
15,2023,1,39420.0,1,8000.0,13140.0,1/1/23,1.64,3.0
17,2023,1,127301.0,4,16568.0,28690.0,1/1/23,1.73,4.44
18,2023,1,44451.0,1,8000.0,11745.0,1/1/23,1.47,3.78
19,2023,1,96780.0,2,15296.0,21600.0,1/1/23,1.41,4.48
20,2023,1,76500.0,3,21756.0,31065.0,1/1/23,1.43,2.46
3,2023,2,510411.0,13,121732.0,128225.0,1/2/23,1.05,3.98
4,2023,2,80371.0,2,14424.0,20180.0,1/2/23,1.4,3.98
5,2023,2,50139.0,1,6716.0,11315.0,1/2/23,1.68,4.43
6,2023,2,77470.0,3,17080.0,22302.0,1/2/23,1.31,3.47
8,2023,2,913239.0,24,136676.0,318765.0,1/2/23,2.33,2.86
10,2023,2,725390.0,23,146932.0,220740.0,1/2/23,1.5,3.29
13,2023,2,1112415.0,29,199212.0,274820.0,1/2/23,1.38,4.05
14,2023,2,277433.0,4,24290.0,55190.0,1/2/23,2.27,5.03
15,2023,2,112159.0,2,11648.0,25650.0,1/2/23,2.2,4.37
17,2023,2,108127.0,3,17928.0,27425.0,1/2/23,1.53,3.94
18,2023,2,39471.0,1,6512.0,8140.0,1/2/23,1.25,4.85
19,2023,2,38901.0,1,2240.0,8400.0,1/2/23,3.75,4.63
20,2023,2,494614.0,12,83220.0,130710.0,1/2/23,1.57,3.78
21,2023,2,315549.0,6,52865.0,74980.0,1/2/23,1.42,4.21
3,2023,3,568014.0,19,104496.0,137510.0,1/3/23,1.32,4.13
6,2023,3,208402.0,7,47312.0,68840.0,1/3/23,1.46,3.03
8,2023,3,563480.0,18,144372.0,162630.0,1/3/23,1.13,3.46
10,2023,3,810481.0,22,159632.0,256000.0,1/3/23,1.6,3.17
12,2023,3,48098.0,1,7008.0,8760.0,1/3/23,1.25,5.49
13,2023,3,541286.0,14,93044.0,127150.0,1/3/23,1.37,4.26
14,2023,3,296691.0,5,33792.0,65855.0,1/3/23,1.95,4.51
15,2023,3,86518.0,3,28557.0,29445.0,1/3/23,1.03,2.94
17,2023,3,205497.0,5,17128.0,45670.0,1/3/23,2.67,4.5
18,2023,3,49214.0,2,13256.0,17370.0,1/3/23,1.31,2.83
19,2023,3,54820.0,2,16000.0,20800.0,1/3/23,1.3,2.64
20,2023,3,227607.0,8,54226.4,78718.0,1/3/23,1.45,2.89
21,2023,3,221179.0,4,30560.0,65260.0,1/3/23,2.14,3.39
3,2023,4,713719.0,19,116336.0,155240.0,1/4/23,1.33,4.6
4,2023,4,119543.0,2,12672.0,26900.0,1/4/23,2.12,4.44
6,2023,4,359408.0,8,63296.0,126355.0,1/4/23,2.0,2.84
7,2023,4,48034.0,1,6384.0,9120.0,1/4/23,1.43,5.27
8,2023,4,722321.0,19,111616.0,177975.0,1/4/23,1.59,4.06
10,2023,4,705703.0,21,137804.0,206750.0,1/4/23,1.5,3.41
13,2023,4,585806.0,15,93293.0,130585.0,1/4/23,1.4,4.49
14,2023,4,117113.0,4,29794.0,28000.0,1/4/23,0.94,4.18
15,2023,4,160069.0,3,19040.0,32495.0,1/4/23,1.71,4.93
